x,y,area,tribe
1335.676117,2164.665527,earth_kingdom_1,earth
1342.252502,2176.683655,earth_kingdom_1,earth
1350.272827,2187.833633,earth_kingdom_1,earth
1358.981781,2196.351547,earth_kingdom_1,earth
1366.43158,2207.734985,earth_kingdom_1,earth
1375.536194,2218.264313,earth_kingdom_1,earth
1381.90033,2229.635773,earth_kingdom_1,earth
1386.81076,2242.328796,earth_kingdom_1,earth
1386.884308,2256.635284,earth_kingdom_1,earth
1390.751953,2269.914474,earth_kingdom_1,earth
1394.386597,2283.48938,earth_kingdom_1,earth
1400.711365,2295.117111,earth_kingdom_1,earth
1406.23703,2308.165665,earth_kingdom_1,earth
1415.53894,2318.784409,earth_kingdom_1,earth
1426.338806,2327.24144,earth_kingdom_1,earth
1437.679596,2334.699707,earth_kingdom_1,earth
1447.95517,2344.389496,earth_kingdom_1,earth
1459.65744,2352.254562,earth_kingdom_1,earth
1471.372528,2359.458122,earth_kingdom_1,earth
1481.698456,2368.02597,earth_kingdom_1,earth
1494.340515,2373.833084,earth_kingdom_1,earth
1508.276825,2376.466255,earth_kingdom_1,earth
1521.84494,2379.490242,earth_kingdom_1,earth
1536.155243,2379.490242,earth_kingdom_1,earth
1550.46524,2379.490242,earth_kingdom_1,earth
1564.775238,2379.490242,earth_kingdom_1,earth
1579.085388,2379.490242,earth_kingdom_1,earth
1593.395386,2379.487572,earth_kingdom_1,earth
1606.287079,2374.62574,earth_kingdom_1,earth
1618.793335,2369.498482,earth_kingdom_1,earth
1632.790375,2367.912064,earth_kingdom_1,earth
1646.62735,2364.502754,earth_kingdom_1,earth
1660.166168,2360.365372,earth_kingdom_1,earth
1673.651123,2357.270279,earth_kingdom_1,earth
1682.118225,2347.823067,earth_kingdom_1,earth
1690.32196,2337.177048,earth_kingdom_1,earth
1699.392395,2326.435928,earth_kingdom_1,earth
1705.930481,2314.459686,earth_kingdom_1,earth
1711.417847,2301.58638,earth_kingdom_1,earth
1716.800079,2289.250565,earth_kingdom_1,earth
1723.515167,2277.908783,earth_kingdom_1,earth
1735.633545,2274.576111,earth_kingdom_1,earth
1749.943542,2274.576111,earth_kingdom_1,earth
1762.724762,2279.286499,earth_kingdom_1,earth
1774.199066,2284.624176,earth_kingdom_1,earth
1786.290741,2291.610489,earth_kingdom_1,earth
1799.514923,2294.559784,earth_kingdom_1,earth
1813.825073,2294.559784,earth_kingdom_1,earth
1823.562012,2287.65976,earth_kingdom_1,earth
1829.77951,2275.72464,earth_kingdom_1,earth
1841.500244,2269.580154,earth_kingdom_1,earth
1852.431946,2265.288162,earth_kingdom_1,earth
1855.252075,2252.474289,earth_kingdom_1,earth
1855.252075,2238.164291,earth_kingdom_1,earth
1851.608276,2225.118637,earth_kingdom_1,earth
1850.256195,2211.055603,earth_kingdom_1,earth
1850.256195,2196.745224,earth_kingdom_1,earth
1856.919861,2188.396454,earth_kingdom_1,earth
1865.243835,2194.944077,earth_kingdom_1,earth
1866.49292,2209.115829,earth_kingdom_1,earth
1870.976105,2222.245331,earth_kingdom_1,earth
1876.484528,2234.581833,earth_kingdom_1,earth
1883.978577,2231.930771,earth_kingdom_1,earth
1887.470856,2218.626785,earth_kingdom_1,earth
1895.198975,2207.182159,earth_kingdom_1,earth
1906.727448,2202.39357,earth_kingdom_1,earth
1917.586823,2205.662308,earth_kingdom_1,earth
1913.351135,2218.389969,earth_kingdom_1,earth
1912.251282,2232.091827,earth_kingdom_1,earth
1922.625427,2239.680939,earth_kingdom_1,earth
1936.919556,2239.303894,earth_kingdom_1,earth
1951.080627,2238.142776,earth_kingdom_1,earth
1965.360107,2238.00827,earth_kingdom_1,earth
1978.351898,2232.90123,earth_kingdom_1,earth
1988.463593,2224.831543,earth_kingdom_1,earth
2000.39978,2218.020096,earth_kingdom_1,earth
2012.399292,2211.200256,earth_kingdom_1,earth
2023.978577,2203.974915,earth_kingdom_1,earth
2033.871155,2194.773865,earth_kingdom_1,earth
2045.421295,2187.861633,earth_kingdom_1,earth
2056.551514,2179.439926,earth_kingdom_1,earth
2065.098572,2168.12706,earth_kingdom_1,earth
2072.291718,2156.34613,earth_kingdom_1,earth
2082.917786,2147.934418,earth_kingdom_1,earth
2091.817474,2138.509445,earth_kingdom_1,earth
2100.419159,2127.787857,earth_kingdom_1,earth
2106.29715,2115.466156,earth_kingdom_1,earth
2106.448059,2101.162186,earth_kingdom_1,earth
2109.787598,2087.605972,earth_kingdom_1,earth
2112.813416,2074.40918,earth_kingdom_1,earth
2115.039978,2060.427094,earth_kingdom_1,earth
2115.039978,2046.116791,earth_kingdom_1,earth
